design_id,design_name,budget,theme,style,layers,difficulty,primary_flower,secondary_flower,accent_flower,primary_color,secondary_color,accent_color,diameter_ft,estimated_time_hr,people_required,occasion,description,flower_diversity,color_diversity,estimated_flower_cost
6,Star Design 6,2000,Traditional,Star,8,Hard,Chrysanthemum,Orchid,Tuberose,White,Purple,White,4,4.8,4,School,Traditional star design,3,2,1452.2
7,Peacock Design 7,800,Traditional,Peacock,6,Medium,Chrysanthemum,Lotus,Tuberose,White,Pink,White,3,3.6,4,Competition,Traditional peacock design,3,2,887.1
8,Peacock Design 8,1200,Temple,Peacock,5,Easy,Marigold,Daisy,Rose,Yellow,White,Pink,4,3.0,4,Home,Temple peacock design,3,3,1216.4
9,Circular Design 9,2000,Temple,Circular,4,Easy,Chrysanthemum,Daisy,Tuberose,White,White,White,4,2.4,4,Home,Temple circular design,3,1,812.4
10,Lotus Design 10,1800,Modern,Lotus,6,Medium,Daisy,Lotus,Rose,White,Pink,Pink,4,3.6,3,Home,Modern lotus design,3,2,841.6
11,Lotus Design 11,800,Temple,Lotus,9,Hard,Daisy,Jasmine,Rose,White,White,Pink,3,5.4,3,Office,Temple lotus design,3,2,1176.6
12,Peacock Design 12,600,Traditional,Peacock,5,Easy,Daisy,Rose,Jasmine,White,Pink,White,3,3.0,4,Office,Traditional peacock design,3,2,1922.0
13,Temple Style Design 13,1000,Temple,Temple Style,5,Easy,Chrysanthemum,Marigold,Orchid,White,Yellow,Purple,4,3.0,3,Home,Temple temple style design,3,3,1224.4
14,Peacock Design 14,1000,Temple,Peacock,4,Easy,Tuberose,Lotus,Daisy,White,Pink,White,7,2.4,4,Home,Temple peacock design,3,2,1050.0
15,Star Design 15,1500,Floral,Star,8,Hard,Lotus,Rose,Daisy,Pink,Pink,White,3,4.8,5,Office,Floral star design,3,2,965.6
16,Lotus Design 16,1800,Floral,Lotus,7,Medium,Jasmine,Orchid,Lotus,White,Purple,Pink,3,4.2,5,School,Floral lotus design,3,3,941.0
17,Peacock Design 17,1500,Traditional,Peacock,7,Medium,Marigold,Daisy,Tuberose,Yellow,White,White,8,4.2,2,Home,Traditional peacock design,3,2,860.2
18,Temple Style Design 18,1200,Modern,Temple Style,7,Medium,Chrysanthemum,Tuberose,Lotus,White,White,Pink,4,4.2,5,Home,Modern temple style design,3,2,2536.2
19,Star Design 19,800,Traditional,Star,8,Hard,Tuberose,Jasmine,Daisy,White,White,White,7,4.8,3,Office,Traditional star design,3,1,1704.7
20,Lotus Design 20,2000,Modern,Lotus,9,Hard,Jasmine,Lotus,Marigold,White,Pink,Yellow,5,5.4,3,Home,Modern lotus design,3,3,1661.5
21,Star Design 21,1500,Temple,Star,5,Easy,Jasmine,Daisy,Rose,White,White,Pink,6,3.0,3,School,Temple star design,3,2,1244.3
22,Temple Style Design 22,1200,Temple,Temple Style,8,Hard,Daisy,Jasmine,Rose,White,White,Pink,7,4.8,4,Home,Temple temple style design,3,2,1045.9
23,Lotus Design 23,1200,Modern,Lotus,4,Easy,Jasmine,Tuberose,Daisy,White,White,White,6,2.4,2,Office,Modern lotus design,3,1,881.2
24,Lotus Design 24,1200,Floral,Lotus,5,Easy,Marigold,Tuberose,Lotus,Yellow,White,Pink,6,3.0,3,Home,Floral lotus design,3,3,1470.9
