design_id,flower,role,quantity_kg
6,Arali,Accent,0.38
6,Chethi,Accent,0.31
6,Chrysanthemum,Accent,1.47
6,Jasmine,Accent,1.33
6,Daisy,Primary,1.86
6,Orchid,Secondary,1.16
7,Chrysanthemum,Accent,0.49
7,Lotus,Accent,0.45
7,Orchid,Accent,0.79
7,Rose,Accent,0.7
7,Jasmine,Primary,0.65
8,Arali,Accent,0.26
8,Chethi,Accent,0.34
8,Daisy,Accent,0.92
8,Jasmine,Accent,0.9
8,Marigold,Accent,1.36
8,Lotus,Primary,1.29
8,Rose,Secondary,1.33
9,Marigold,Accent,0.78
9,Orchid,Accent,0.55
9,Rose,Accent,0.7
9,Lotus,Primary,0.73
9,Daisy,Secondary,0.76
10,Chethi,Accent,0.35
10,Marigold,Accent,1.58
10,Jasmine,Primary,0.91
10,Lotus,Secondary,1.24
11,Arali,Accent,0.44
11,Lotus,Accent,0.94
11,Marigold,Accent,0.75
11,Orchid,Accent,0.81
11,Chrysanthemum,Primary,1.05
11,Rose,Secondary,1.11
12,Arali,Accent,0.59
12,Green Leaves,Accent,0.34
12,Jasmine,Accent,2.06
12,Rose,Accent,1.76
12,Marigold,Primary,2.52
12,Orchid,Secondary,1.4
13,Daisy,Accent,0.87
13,Green Leaves,Accent,0.25
13,Jasmine,Accent,0.98
13,Marigold,Accent,0.94
13,Orchid,Accent,0.97
13,Rose,Primary,0.59
13,Chrysanthemum,Secondary,1.07
14,Arali,Accent,0.48
14,Chethi,Accent,0.22
14,Chrysanthemum,Accent,0.88
14,Daisy,Accent,0.95
14,Jasmine,Accent,0.89
14,Lotus,Accent,0.95
14,Rose,Primary,1.14
15,Arali,Accent,0.59
15,Chrysanthemum,Accent,0.77
15,Jasmine,Accent,1.0
15,Rose,Accent,1.1
15,Lotus,Primary,1.13
16,Jasmine,Accent,0.82
16,Lotus,Accent,0.85
16,Rose,Accent,0.64
16,Orchid,Primary,0.53
16,Chrysanthemum,Secondary,0.72
17,Lotus,Accent,1.14
17,Marigold,Accent,1.06
17,Chrysanthemum,Primary,1.16
17,Rose,Secondary,1.27
18,Arali,Accent,0.45
18,Marigold,Accent,1.62
18,Orchid,Accent,2.28
18,Lotus,Primary,2.38
18,Rose,Secondary,2.41
19,Arali,Accent,0.34
19,Orchid,Accent,1.68
19,Rose,Accent,2.06
19,Marigold,Primary,1.88
19,Daisy,Secondary,1.75
20,Chethi,Accent,0.27
20,Chrysanthemum,Accent,1.96
20,Green Leaves,Accent,0.36
20,Orchid,Primary,1.93
20,Rose,Secondary,2.02
21,Arali,Accent,0.6
21,Chethi,Accent,0.35
21,Jasmine,Accent,1.23
21,Marigold,Accent,1.14
21,Rose,Accent,1.64
21,Daisy,Primary,1.31
21,Chrysanthemum,Secondary,1.5
22,Chethi,Accent,0.54
22,Daisy,Accent,1.42
22,Green Leaves,Accent,0.39
22,Jasmine,Accent,1.14
22,Lotus,Primary,0.9
22,Chrysanthemum,Secondary,1.47
23,Chethi,Accent,0.52
23,Green Leaves,Accent,0.29
23,Jasmine,Accent,0.75
23,Orchid,Primary,0.96
23,Marigold,Secondary,1.01
24,Chrysanthemum,Accent,1.03
24,Daisy,Accent,1.26
24,Green Leaves,Accent,0.46
24,Jasmine,Accent,1.21
24,Orchid,Primary,1.16
24,Rose,Secondary,1.43
25,Green Leaves,Accent,0.32
25,Marigold,Accent,0.93
25,Orchid,Accent,0.88
25,Lotus,Primary,1.04
25,Daisy,Secondary,1.33
26,Chrysanthemum,Accent,1.01
26,Lotus,Accent,1.24
26,Orchid,Primary,1.32
26,Jasmine,Secondary,0.98
27,Arali,Accent,0.5
27,Chethi,Accent,0.26
27,Daisy,Accent,1.46
27,Marigold,Accent,1.49
27,Orchid,Accent,1.34
27,Rose,Secondary,1.55
28,Green Leaves,Accent,0.35
28,Jasmine,Accent,0.5
28,Lotus,Accent,0.79
28,Orchid,Primary,0.7
29,Daisy,Accent,1.81
29,Marigold,Primary,2.05
29,Jasmine,Secondary,1.5
30,Chethi,Accent,0.6
30,Jasmine,Accent,1.56
30,Rose,Primary,1.28
31,Arali,Accent,0.24
31,Daisy,Accent,0.64
31,Jasmine,Accent,0.73
31,Marigold,Accent,0.61
31,Orchid,Accent,0.68
31,Lotus,Primary,0.68
32,Chethi,Accent,0.26
32,Chrysanthemum,Accent,1.7
32,Lotus,Accent,1.72
32,Daisy,Primary,1.61
32,Orchid,Secondary,1.22
33,Chrysanthemum,Accent,1.46
33,Green Leaves,Accent,0.3
33,Jasmine,Accent,1.11
33,Lotus,Accent,1.02
33,Orchid,Primary,1.5
33,Daisy,Secondary,1.0
34,Arali,Accent,0.44
34,Orchid,Accent,1.66
34,Rose,Accent,1.7
34,Marigold,Primary,1.51
34,Daisy,Secondary,1.77
35,Arali,Accent,0.59
35,Chrysanthemum,Accent,1.19
35,Daisy,Primary,1.07
35,Rose,Secondary,1.27
36,Daisy,Accent,1.54
36,Jasmine,Accent,2.09
36,Lotus,Primary,1.79
37,Green Leaves,Accent,0.19
37,Lotus,Accent,2.06
37,Jasmine,Primary,1.54
37,Rose,Secondary,1.88
38,Jasmine,Accent,1.21
38,Orchid,Accent,1.29
38,Rose,Primary,1.47
38,Lotus,Secondary,1.89
39,Arali,Accent,0.37
39,Green Leaves,Accent,0.19
39,Lotus,Accent,1.51
39,Orchid,Primary,1.84
39,Marigold,Secondary,1.8
40,Chrysanthemum,Accent,0.6
40,Daisy,Accent,0.51
40,Green Leaves,Accent,0.46
40,Lotus,Accent,0.46
40,Orchid,Primary,0.62
40,Marigold,Secondary,0.42
41,Green Leaves,Accent,0.42
41,Orchid,Accent,0.96
41,Rose,Accent,1.05
41,Lotus,Primary,1.02
41,Daisy,Secondary,1.37
42,Chethi,Accent,0.55
42,Orchid,Accent,2.06
42,Rose,Primary,1.48
42,Lotus,Secondary,1.68
43,Chrysanthemum,Accent,1.23
43,Green Leaves,Accent,0.33
43,Lotus,Accent,1.37
43,Marigold,Accent,0.97
43,Rose,Accent,1.0
43,Orchid,Primary,1.42
43,Jasmine,Secondary,0.86
44,Arali,Accent,0.51
44,Jasmine,Accent,0.65
44,Marigold,Accent,0.58
44,Orchid,Accent,0.86
44,Rose,Primary,0.6
